0	3	1.0
0	9	1.0
0	10	1.0
0	16	2.0
0	18	1.0
0	28	1.0
0	27	1.0
0	15	1.0
0	17	1.0
0	22	1.0
0	23	1.0
0	26	1.0
0	0	1.0
0	13	1.0
0	11	1.0
0	12	1.0
0	21	1.0
0	25	1.0
0	5	1.0
0	14	1.0
0	19	1.0
0	20	1.0
0	4	1.0
0	24	1.0
1	195	1.0
1	165	1.0
1	189	1.0
1	193	1.0
1	169	1.0
1	164	1.0
1	191	1.0
1	162	1.0
1	192	1.0
1	158	1.0
1	176	1.0
1	124	1.0
1	160	1.0
1	187	1.0
1	178	1.0
1	175	1.0
1	177	1.0
1	166	1.0
1	190	1.0
1	180	2.0
1	182	1.0
1	184	1.0
1	179	1.0
1	185	1.0
1	161	1.0
1	173	1.0
1	150	1.0
1	151	1.0
1	152	1.0
1	153	1.0
1	155	1.0
1	156	1.0
1	157	1.0
1	127	1.0
1	181	1.0
1	149	2.0
1	163	1.0
1	125	1.0
1	168	1.0
1	172	1.0
1	194	1.0
1	136	1.0
1	126	1.0
1	133	1.0
1	120	1.0
1	170	1.0
1	174	1.0
1	128	1.0
1	183	1.0
1	186	1.0
1	167	1.0
1	159	2.0
1	188	1.0
1	171	1.0
1	154	1.0
2	390	1.0
2	398	1.0
2	389	1.0
2	401	1.0
2	394	1.0
2	397	1.0
2	391	1.0
2	400	1.0
2	387	1.0
2	386	1.0
2	399	1.0
2	396	1.0
2	392	1.0
3	61	2.0
3	8	1.0
3	443	2.0
3	442	1.0
3	444	1.0
3	445	1.0
4	77	1.0
4	469	1.0
4	468	1.0
4	467	1.0
4	470	1.0
4	471	1.0
4	472	1.0
4	466	1.0
5	496	1.0
5	495	1.0
5	494	1.0
5	497	1.0
6	46	1.0
6	509	1.0
6	515	1.0
6	516	1.0
6	510	2.0
6	517	1.0
7	521	1.0
7	526	1.0
7	530	1.0
7	531	1.0
8	549	1.0
8	550	2.0
8	554	1.0
8	542	1.0
8	552	1.0
8	541	2.0
8	540	1.0
8	546	1.0
8	545	1.0
8	548	1.0
8	543	1.0
8	547	1.0
8	551	1.0
8	544	1.0
9	1	1.0
9	61	1.0
9	75	1.0
9	78	2.0
9	609	1.0
9	613	1.0
9	616	1.0
9	614	1.0
9	615	1.0
9	611	1.0
9	606	1.0
9	608	1.0
9	610	1.0
9	612	1.0
10	662	1.0
10	663	1.0
10	386	2.0
10	660	1.0
10	661	1.0
11	487	1.0
11	692	1.0
11	694	1.0
11	703	1.0
11	686	1.0
11	689	1.0
11	678	2.0
11	693	1.0
11	702	1.0
11	685	1.0
11	704	1.0
11	683	1.0
11	684	2.0
11	690	1.0
11	701	1.0
11	682	1.0
11	697	1.0
11	698	1.0
11	699	1.0
11	700	1.0
11	696	1.0
11	705	1.0
11	695	1.0
11	688	1.0
11	681	1.0
11	679	1.0
11	677	1.0
12	107	1.0
12	796	1.0
12	794	1.0
12	795	1.0
13	1	1.0
13	52	1.0
13	53	1.0
13	59	2.0
13	72	1.0
13	92	1.0
13	107	1.0
13	456	1.0
13	460	1.0
13	490	1.0
13	591	1.0
13	16	1.0
13	772	5.0
13	901	1.0
13	906	1.0
13	932	1.0
13	835	1.0
13	864	1.0
13	867	1.0
13	893	1.0
13	26	1.0
13	614	1.0
13	834	1.0
13	868	1.0
13	921	1.0
13	854	1.0
13	846	1.0
13	884	1.0
13	885	1.0
13	896	7.0
13	922	1.0
13	862	1.0
13	871	1.0
13	842	2.0
13	845	1.0
13	847	1.0
13	861	2.0
13	881	1.0
13	882	1.0
13	883	1.0
13	914	1.0
13	919	1.0
13	937	1.0
13	619	1.0
13	900	1.0
13	470	1.0
13	907	1.0
13	908	1.0
13	909	1.0
13	910	1.0
13	471	1.0
13	472	2.0
13	473	1.0
13	474	1.0
13	812	1.0
13	894	1.0
13	913	1.0
13	903	1.0
13	905	1.0
13	912	1.0
13	892	1.0
13	891	1.0
13	916	1.0
13	808	1.0
13	851	1.0
13	869	1.0
13	899	1.0
13	911	1.0
13	870	1.0
13	833	1.0
13	876	1.0
13	877	1.0
13	874	1.0
13	878	1.0
13	895	7.0
13	872	1.0
13	849	2.0
13	898	1.0
13	852	1.0
13	863	1.0
13	14	1.0
13	832	1.0
13	875	1.0
13	815	1.0
13	855	1.0
13	918	1.0
13	917	2.0
13	853	1.0
13	836	1.0
13	929	1.0
13	931	1.0
13	838	1.0
13	860	1.0
13	831	1.0
13	827	1.0
13	866	1.0
13	809	1.0
13	810	1.0
13	939	1.0
13	886	1.0
13	935	1.0
13	829	1.0
13	828	1.0
13	843	2.0
13	928	2.0
13	830	1.0
13	930	1.0
13	856	1.0
13	837	1.0
13	938	1.0
13	889	1.0
13	820	1.0
13	920	1.0
13	857	1.0
13	848	2.0
13	933	1.0
13	850	1.0
13	941	1.0
13	924	1.0
13	925	1.0
13	915	1.0
13	888	1.0
13	873	1.0
13	927	1.0
13	887	1.0
13	880	1.0
13	923	1.0
13	811	1.0
14	106	1.0
14	1379	1.0
