299	2911
4308	4775
1053	2879
116	2909
9269	16777
2100	2229
1095	11155
2363	8913
1935	2199
880	6476
13004	13939
532	745
107	448
7523	15965
1694	6375
2458	4241
6000	9615
616	702
519	7190
214	10821
3863	6080
1830	3466
1835	7216
299	974
13680	13689
328	7211
2187	8314
214	7834
3271	11925
280	1097
3833	4851
1317	2728
3718	9491
9750	17069
823	3095
1729	9135
1	258
120	4368
1686	4495
214	15510
106	3958
1250	4462
2102	2350
2720	4842
8833	8900
14210	14832
412	1674
1371	11298
117	4124
13735	13736
1	927
2465	2658
904	6782
143	4222
483	3071
630	9216
3775	10387
5353	14233
8646	10102
946	2519
4166	12802
1689	4236
843	9230
3792	6436
434	1080
277	674
843	3959
214	869
8491	13598
3794	8850
3787	10737
99	3869
410	4493
12987	16723
3806	6448
630	1928
3739	10486
5957	6600
1184	11214
245	376
3064	4546
17733	18636
3770	4172
329	1783
2323	4837
329	3294
2442	7168
5971	8142
2345	5830
123	2056
5233	5403
13011	17708
7055	9706
2528	5953
61	2495
4149	9655
2775	2955
4161	7042
9160	9186
118	1069
6439	10439
2133	6334
4040	4508
14481	16902
9	2019
141	3078
821	2875
422	2118
312	6963
299	3177
312	7055
4167	13086
3455	4094
247	2915
551	1684
13382	17823
3741	10557
3802	10453
8687	10103
3152	9786
1728	10029
624	1909
14197	17991
10647	17458
8382	9281
2948	4823
6456	6473
8850	10430
6446	12931
9494	16858
8714	15196
6937	6944
13905	17524
2478	2701
7180	9740
911	4201
2580	4035
4154	13041
12	2140
3094	4564
1025	3798
616	3436
2425	4829
459	8686
811	2319
1024	4355
214	14773
7519	15960
597	7344
15326	17303
833	3095
1	941
5388	13081
126	4432
1693	3002
1788	11335
4141	4169
9118	16679
157	3221
14208	16986
13	2338
3	1751
3742	8852
2126	2434
524	1565
975	7611
6005	6316
3012	10362
835	5146
3757	3764
259	6390
1800	3074
1085	6070
3814	9160
3793	3809
552	2233
3057	4211
2058	3371
5950	8775
2073	3716
6613	15499
615	2101
214	3811
91	148
1053	9023
339	3826
805	4120
2990	12243
11449	17779
2127	7271
461	8802
122	4384
7358	13106
3787	6442
216	2556
485	8958
15198	16221
200	410
920	1920
306	6963
363	2779
7118	7733
12936	14470
1154	7733
856	1088
1895	7118
2996	3013
339	1753
299	6274
61	998
1810	4516
1887	3095
103	3945
214	10175
12703	13668
1706	8088
4013	11827
1112	3000
91	2856
14885	15331
1025	5585
2206	6535
214	8741
1693	7290
290	358
6439	8868
753	3868
1354	4101
268	2492
616	4784
466	8891
3757	4133
971	3056
709	10019
306	1879
26	1931
421	4942
15349	16489
214	10551
363	2843
2588	4778
214	13515
329	2687
13	434
1848	6323
1097	10545
12964	16401
970	9253
8813	16489
4540	4553
116	2544
238	968
99	524
2643	2655
730	1281
1780	11521
3806	4120
2453	11882
10527	13329
3744	3794
857	10579
41	3123
2599	2761
1230	1624
520	630
295	1429
730	3539
2015	2019
1015	7462
2367	8142
1326	9347
2349	3149
6365	10161
1055	1097
6669	9325
46	1080
9826	16615
325	1865
12735	16116
466	4977
99	3842
3316	7043
5776	9111
8836	10402
223	3868
312	2909
2206	3190
117	3764
24	2663
312	1669
107	3971
5403	8658
8337	11836
214	1674
13836	14920
